mpid,firstname,surname,party
982,Simon,Hughes,LDem
983,Joan,Humble,Lab
984,John,Hume,SDLP
985,Andrew,Hunter,Con
986,Alan,Hurst,Lab
987,John,Hutton,Lab
988,Brian,Iddon,Lab
989,Eric,Illsley,Lab
990,Adam,Ingram,Lab
991,Michael,Jack,Con
992,Glenda,Jackson,Lab
993,Helen,Jackson,Lab
994,Robert,Jackson,Con
995,David,Jamieson,Lab
996,Bernard,Jenkin,Con
997,Brian,Jenkins,Lab
998,Alan,Johnson,Lab
999,Boris,Johnson,Con
1000,Melanie,Johnson,Lab
1001,Helen,Jones,Lab
1002,Jon,Owen Jones,Lab
1003,Kevan,Jones,Lab
1004,Lynne,Jones,Lab
1005,Martyn,Jones,Lab
1006,Nigel,Jones,LDem
1007,Tessa,Jowell,Lab
1008,Eric,Joyce,Lab
1009,Gerald,Kaufman,Lab
1010,Sally,Keeble,Lab
1011,Alan,Keen,Lab
1012,Ann,Keen,Lab
1013,Paul,Keetch,LDem
1014,Ruth,Kelly,Lab
1015,Fraser,Kemp,Lab
1016,Charles,Kennedy,LDem
1017,Jane,Kennedy,Lab
1018,Robert,Key,Con
1019,Piara,S Khabra,Lab
1020,David,Kidney,Lab
1021,Peter,Kilfoyle,Lab
1022,Andy,King,Lab
1023,Oona,King,Lab
1024,Julie,Kirkbride,Con
1025,Archy,Kirkwood,LDem
1026,Greg,Knight,Con
1027,Jim,Knight,Lab
1028,Ashok,Kumar,Lab
1029,Stephen,Ladyman,Lab
1030,Eleanor,Laing,Con
1031,Jacqui,Lait,Con
1032,Norman,Lamb,LDem
1033,David,Lammy,Lab
1034,Andrew,Lansley,Con
1035,Jackie,Lawrence,Lab
1036,David,Laws,LDem
1037,Bob,Laxton,Lab
1038,Mark,Lazarowicz,Lab
1039,Edward,Leigh,Con
1040,David,Lepper,Lab
1041,Chris,Leslie,Lab
1042,Oliver,Letwin,Con
1043,Tom,Levitt,Lab
1044,Ivan,Lewis,Lab
1045,Julian,Lewis,Con
1046,Terry,Lewis,Lab
1047,Helen,Liddell,Lab
1048,Ian,Liddell-Grainger,Con
1049,David,Lidington,Con
1050,Peter,Lilley,Con
1051,Martin,Linton,Lab
1052,Tony,Lloyd,Lab
1053,Elfyn,Llwyd,PC
1055,Tim,Loughton,Con
1056,Andrew,Love,Lab
1057,Ian,Lucas,Lab
1058,Peter,Luff,Con
1059,Iain,Luke,Lab
1060,John,Lyons,Lab
1061,Thomas,McAvoy,Lab
1062,Steve,McCabe,Lab
1063,Chris,McCafferty,Lab
1064,Ian,McCartney,Lab
1065,Siobhain,McDonagh,Lab
1066,Calum,MacDonald,Lab
1067,John,Martin McDonnell,Lab
1068,John,MacDougall,Lab
1069,John,McFall,Lab
1070,Eddie,McGrady,SDLP
1072,Anne,McGuire,Lab
1073,Anne,McIntosh,Con
1074,Shona,McIsaac,Lab
1075,Andrew,MacKay,Con
1076,Ann,McKechin,Lab
1077,Rosemary,McKenna,Lab
1078,Andrew,MacKinlay,Lab
1079,David,Maclean,Con
1080,Patrick,McLoughlin,Con
1081,Kevin,McNamara,Lab
1082,Tony,McNulty,Lab
1083,Denis,MacShane,Lab
1084,Fiona,Mactaggart,Lab
1085,Tony,McWalter,Lab
1086,John,McWilliam,Lab
1087,Khalid,Mahmood,Lab
1088,Alice,Mahon,Lab
1089,Humfrey,Malins,Con
1090,Judy,Mallaber,Lab
1091,Seamus,Mallon,SDLP
1092,Peter,Mandelson,Lab
1093,John,Mann,Lab
1094,John,Maples,Con
1095,Rob,Marris,Lab
1096,Gordon,Marsden,Lab
1097,Paul,Marsden,Lab
1098,David,Marshall,Lab
1099,Jim,Marshall,Lab
1100,Robert,Marshall-Andrews,Lab
1102,Eric,Martlew,Lab
1103,Michael,Mates,Con
1104,Francis,Maude,Con
1105,Brian,Mawhinney,Con
1106,Theresa,May,Con
1107,Michael,Meacher,Lab
1108,Alan,Meale,Lab
1109,Patrick,Mercer,Con
1110,Gillian,Merron,Lab
1111,Alun,Michael,Lab
1112,Alan,Milburn,Lab
1113,David,Miliband,Lab
1114,Andrew,Miller,Lab
1115,Andrew,Mitchell,Con
1116,Austin,Mitchell,Lab
1117,Laura,Moffatt,Lab
1118,Lewis,Moonie,Lab
1119,Michael,Moore,LDem
1120,Margaret,Moran,Lab
1121,Julie,Morgan,Lab
1122,Elliot,Morley,Lab
1123,Estelle,Morris,Lab
1124,Malcolm,Moss,Con
1125,Kali,Mountford,Lab
