Story ID	Ranking	Subject (What)	Event Initiator	Tone
95	1	90	71	08
95	M	45	03	33
96	1	242	11	21
96	M	138	11	17
97	1	469	52	07
97	M	451	52	32
98	1	300	53	33
99	1	90	09	40
99	M	291	74	40
100	1	187	53	41
101	1	356	53	33
1156	1	187	53	41
281	1	242	53	17
282	1	242	53	37
282	M	351	53	25
283	1	186	53	37
283	1	243	53	37
284	1	302	75	32
285	1	148	53	10
285	1	408	53	18
285	1	370	53	10
286	1	350	11	33
286	M	90	11	33
286	M	148	11	33
287	1	291	74	24
288	1	26	03	33
288	M	17	03	33
289	1	350	11	33
289	M	241	11	25
289	M	242	11	25
289	M	148	11	33
292	1	396	71	19
293	1	242	11	25
294	1	242	11	17
294	S	148	11	17
295	1	370	53	34
295	M	408	53	34
295	M	90	53	34
295	M	394	53	34
296	1	395	11	01
296	1	386	19	19
298	1	1	03	33
298	S	384	03	25
298	M	17	03	33
299	1	26	74	25
299	1	312	74	25
300	1	395	71	23
300	M	386	71	19
301	1	96	53	40
301	1	64	53	40
301	M	62	53	40
302	1	384	52	19
302	1	451	52	19
303	1	466	52	07
304	1	466	52	19
304	M	400	52	19
305	1	166	13	27
305	M	90	71	02
306	1	360	53	33
306	1	350	53	33
307	1	350	11	25
307	M	241	11	17
308	1	1	05	27
308	M	14	05	27
308	S	2	05	27
309	1	242	11	17
310	1	351	11	25
310	1	242	11	25
312	1	242	53	25
312	1	350	53	25
312	1	241	53	17
316	1	243	37	05
317	1	96	71	32
317	M	124	53	18
317	M	120	53	32
318	1	26	03	25
321	1	291	17	24
321	M	138	17	24
322	1	290	71	32
323	1	302	27	18
323	M	284	17	24
323	M	370	27	18
324	1	466	53	24
324	M	166	13	19
324	S	435	53	19
324	S	78	53	18
325	1	166	13	27
325	M	90	71	18
325	S	462	51	35
326	1	370	53	18
326	M	408	53	26
326	M	133	53	18
326	M	394	53	18
327	1	353	09	18
327	1	396	09	18
328	1	386	19	27
328	1	483	19	31
329	1	360	53	33
329	S	137	53	33
329	S	131	53	33
330	1	350	11	25
330	1	242	11	17
330	1	241	11	17
331	1	466	52	07
331	M	90	09	18
331	M	386	15	24
333	1	353	09	26
333	1	396	09	26
334	1	302	27	18
334	M	300	27	26
335	1	291	17	18
335	1	148	17	18
335	M	277	17	18
336	1	435	53	19
337	1	85	53	32
338	1	290	09	26
339	1	350	11	25
339	1	241	11	25
339	M	242	11	17
340	1	242	11	25
340	M	325	11	25
341	1	242	11	17
342	1	241	11	25
342	1	351	11	25
344	1	350	11	25
344	1	148	11	25
344	S	241	11	17
345	1	350	11	17
345	1	148	11	17
348	1	350	11	33
348	M	242	11	25
348	M	392	11	33
349	1	242	11	17
349	1	286	11	18
349	M	147	11	24
350	1	64	71	32
350	1	125	71	32
352	1	64	53	34
352	M	60	53	26
352	M	405	53	26
352	M	96	53	32
353	M	384	52	19
353	1	451	52	19
354	1	395	75	31
355	1	90	53	19
355	1	435	53	19
355	1	14	53	19
356	1	350	53	25
356	S	360	53	25
356	S	148	53	18
357	1	350	11	33
357	M	242	11	25
357	M	148	11	25
357	S	241	11	25
358	1	26	03	25
359	1	1	74	40
359	M	39	71	32
360	1	96	01	26
360	1	2	01	26
361	1	327	75	31
361	1	999	75	31
363	1	466	53	39
363	M	169	53	19
364	1	1	01	40
364	S	38	03	40
366	1	360	11	17
366	1	241	11	17
367	1	350	11	25
367	1	242	11	17
367	1	277	11	18
368	1	360	53	33
368	M	241	53	33
368	M	286	53	33
369	1	242	11	17
369	S	325	11	25
369	S	279	11	25
370	1	351	11	25
370	M	241	11	17
371	M	90	09	27
371	1	291	74	18
372	1	265	37	29
373	1	355	18	31
373	M	291	17	31
373	M	274	74	31
375	1	234	03	33
375	S	384	03	25
376	1	27	02	08
377	1	483	19	07
377	M	386	19	19
378	1	321	71	32
378	M	324	71	32
378	S	325	71	32
379	1	483	53	31
379	M	279	53	33
379	M	282	53	18
351	S	385	53	27
441	M	131	03	33
442	1	273	74	25
442	1	284	17	25
442	1	148	11	17
443	1	231	03	40
443	1	60	03	40
445	1	312	71	32
446	1	252	09	18
446	M	301	55	34
448	1	17	53	33
448	M	148	53	24
449	1	186	53	19
449	1	166	13	19
449	1	466	53	27
450	1	370	53	10
450	M	353	53	18
450	M	148	53	10
451	1	243	53	16
451	M	148	53	16
451	M	170	53	16
451	1	186	53	24
451	S	78	53	16
452	1	243	37	29
453	1	384	53	19
453	1	102	53	19
453	S	37	53	19
453	S	80	53	19
453	S	81	53	19
454	1	50	13	35
454	M	82	03	19
454	M	440	71	40
454	S	384	71	19
455	1	465	52	19
455	1	400	52	19
455	S	384	52	19
457	1	51	03	25
458	1	131	03	41
458	1	17	03	41
459	1	1	71	40
459	S	384	74	19
459	S	13	74	32
459	S	2	71	40
460	1	351	11	25
460	1	396	11	25
461	1	17	03	33
461	M	14	03	19
461	M	469	03	39
461	M	131	03	33
413	M	14	03	19
413	M	469	03	39
462	1	64	71	40
463	1	312	35	24
463	1	148	35	24
464	1	40	03	19
464	1	70	03	23
465	1	354	53	24
465	1	320	53	24
466	1	16	24	19
466	M	48	14	19
466	M	18	24	19
468	1	70	03	19
468	1	191	03	19
469	1	102	03	19
469	M	16	03	19
470	1	384	71	19
470	1	82	71	19
471	1	243	37	29
471	S	244	37	21
472	1	241	11	17
472	1	350	11	17
473	1	355	74	19
476	1	16	53	19
476	M	122	53	19
477	1	90	09	32
477	S	50	09	32
478	1	466	53	31
478	M	90	53	27
479	1	1	74	32
479	M	45	71	32
479	S	16	24	19
480	1	440	11	33
480	M	451	11	25
480	M	450	11	17
481	1	26	03	25
481	1	90	71	32
481	1	17	03	25
484	1	121	53	40
484	M	60	53	40
484	M	64	53	32
485	1	292	19	32
485	1	289	19	31
485	1	51	07	32
486	1	125	53	32
488	1	102	53	27
488	1	14	53	27
489	1	166	13	27
489	M	48	11	27
489	S	72	01	26
489	S	14	01	27
490	1	430	01	32
490	M	125	01	32
492	1	273	74	25
492	M	291	74	31
494	1	291	17	24
494	M	138	17	24
494	M	453	15	24
495	1	302	75	24
495	M	148	75	24
495	S	143	75	24
495	M	411	53	23
496	1	483	19	31
496	M	386	19	19
497	1	483	19	24
497	1	174	59	18
497	1	148	59	10
499	1	241	11	17
499	1	350	11	25
499	S	351	11	25
500	1	79	11	25
500	M	78	11	25
501	1	350	11	25
501	M	453	11	25
503	1	243	37	29
504	1	396	11	17
506	1	125	53	25
506	M	78	53	25
506	M	79	53	25
506	M	231	53	25
506	M	64	53	24
507	1	1	74	32
507	1	90	71	32
507	M	16	24	19
507	S	2	01	40
508	1	466	52	31
508	S	405	53	24
511	1	133	15	24
511	M	291	17	24
511	M	393	17	24
511	M	138	17	24
512	1	292	17	32
512	1	483	17	32
515	1	1	05	27
515	M	14	07	19
516	1	125	53	24
516	1	483	53	23
516	S	124	53	32
516	S	292	53	23
517	1	96	11	25
517	1	231	11	25
517	M	60	11	25
517	M	288	11	25
518	1	79	11	17
519	1	321	11	32
519	M	453	11	32
521	1	95	53	32
521	M	60	53	40
521	M	384	53	32
521	M	16	53	19
521	M	124	53	32
521	M	102	53	27
522	1	96	53	40
522	1	64	53	40
522	M	60	53	40
522	M	124	53	32
522	M	102	53	27
523	1	173	55	18
523	M	170	09	18
523	M	261	74	18
525	1	26	53	25
525	S	29	03	25
525	M	405	53	25
