ID	Justification	Subject (Whom)	Tone
1249	21	721	Reinforcing
1249	21	722	Assumed
1250	15	850	Reinforcing
1250	26	850	Deflating
1267	12	543	Reinforcing
1269	22	540	Assumed
1274	02	500	Reinforcing
1274	04	500	Reinforcing
1285	21	720	Assumed
1288	21	925	Reinforcing
1288	13	925	Reinforcing
1288	19	925	Reinforcing
1294	33	821	Reinforcing
1298	07	611	Reinforcing
1298	28	611	Reinforcing
1301	02	600	Assumed
1301	27	600	Assumed
1306	21	849	Reinforcing
1	09	500	Assumed
32	01	500	Reinforcing
42	01	790	Assumed
42	01	503	Reinforcing
1318	03	506	Reinforcing
1318	05	506	Reinforcing
58	14	862	Assumed
58	31	862	Reinforcing
59	01	500	Reinforcing
59	14	801	Reinforcing
75	12	580	Reinforcing
78	14	862	Deflating
79	14	801	Reinforcing
92	02	850	Questioned
94	02	862	Reinforcing
109	01	862	Assumed
126	12	862	Assumed
126	14	801	Reinforcing
126	09	532	Reinforcing
136	02	862	Reinforcing
148	09	601	Reinforcing
148	11	801	Questioned
158	09	601	Assumed
179	13	803	Reinforcing
180	09	601	Reinforcing
183	14	782	Assumed
204	01	525	Assumed
216	01	862	Mixed
220	14	780	Assumed
304	02	862	Reinforcing
312	22	540	Assumed
313	31	543	Reinforcing
313	14	543	Reinforcing
313	01	503	Reinforcing
313	10	503	Reinforcing
313	02	503	Reinforcing
315	01	555	Reinforcing
315	22	543	Reinforcing
335	19	801	Reinforcing
339	02	543	Reinforcing
340	01	509	Assumed
341	19	543	Assumed
344	01	543	Reinforcing
344	31	591	Reinforcing
344	22	543	Reinforcing
344	04	543	Questioned
344	11	555	Assumed
344	22	543	Reinforcing
367	22	543	Reinforcing
344	02	527	Reinforcing
344	12	543	Reinforcing
344	01	543	Assumed
345	19	543	Mixed
391	33	543	Reinforcing
391	10	500	Reinforcing
391	11	555	Reinforcing
391	03	550	Reinforcing
394	22	590	Mixed
455	02	850	Reinforcing
495	02	999	Questioned
530	12	907	Assumed
532	12	862	Assumed
561	21	730	Reinforcing
582	22	905	Reinforcing
609	03	862	Reinforcing
632	12	804	Reinforcing
632	21	814	Reinforcing
632	19	804	Assumed
632	11	792	Assumed
639	02	850	Reinforcing
670	30	814	Reinforcing
670	22	805	Reinforcing
671	21	543	Reinforcing
680	13	710	Assumed
680	21	710	Reinforcing
680	22	710	Reinforcing
753	02	600	Reinforcing
787	12	804	Reinforcing
787	10	792	Assumed
798	02	667	Reinforcing
798	02	667	Reinforcing
798	29	667	Assumed
798	33	667	Reinforcing
798	02	667	Reinforcing
799	09	907	Reinforcing
799	22	907	Assumed
830	21	543	Reinforcing
843	21	731	Reinforcing
843	21	543	Reinforcing
888	33	711	Reinforcing
902	02	850	Assumed
912	02	665	Assumed
916	02	667	Deflating
946	21	830	Reinforcing
946	11	830	Mixed
946	11	830	Reinforcing
985	14	905	Reinforcing
988	26	532	Reinforcing
1106	25	526	Assumed
1143	31	862	Assumed
1143	30	862	Mixed
1144	26	526	Reinforcing
1144	01	862	Mixed
1250	26	850	Deflating
1250	26	850	Questioned
1259	26	850	Deflating
1184	33	862	Reinforcing
1237	05	500	Assumed
1274	05	500	Assumed
1374	12	862	Assumed
1375	11	862	Deflating
1375	12	862	Assumed
1456	26	500	Assumed
1456	27	500	Assumed
1456	02	500	Assumed
1456	34	500	Assumed
1513	22	583	Assumed
1513	12	591	Assumed
1521	02	722	Reinforcing
1521	03	722	Reinforcing
1521	11	722	Assumed
1521	01	722	Assumed
1537	02	500	Reinforcing
1555	21	862	Assumed
1555	22	862	Assumed
1562	12	862	Assumed
1562	21	862	Assumed
1565	12	862	Assumed
1565	21	862	Assumed
1566	31	862	Reinforcing
1566	29	862	Assumed
1566	33	862	Reinforcing
1589	14	509	Assumed
1597	27	600	Assumed
1597	02	600	Reinforcing
1652	02	500	Reinforcing
1686	26	500	Assumed
1699	02	722	Reinforcing
1717	02	862	Reinforcing
1718	03	862	Reinforcing
1730	14	781	Assumed
1740	33	862	Reinforcing
1745	21	862	Assumed
1767	12	801	Assumed
1844	23	500	Assumed
