ID	Source
1100	649
1100	661
1101	998
1101	805
1101	802
1101	501
1105	522
1105	693
1105	780
1106	526
1106	998
1106	620
1106	881
1106	774
1108	677
1108	670
1108	656
1108	805
1108	612
1108	774
1109	526
1110	591
1111	781
1112	774
1112	730
1112	612
1112	832
1112	805
1113	998
1113	534
1113	805
1113	667
1113	691
1114	998
1115	998
1115	680
1115	677
1115	693
1115	656
1116	612
1117	999
1119	675
1119	522
1119	677
1119	623
1119	873
1119	660
1123	514
1123	501
1123	693
1124	681
1125	998
1125	612
1125	998
1125	817
1125	645
1126	873
1126	869
1127	774
1127	999
1127	999
1128	533
1128	731
1129	998
1129	665
1129	850
1129	620
1130	522
1130	783
1130	763
1130	764
1130	526
1130	500
1132	805
1134	631
1134	999
1135	830
1135	830
1135	830
1135	830
1135	833
1135	830
1135	766
1137	620
1137	526
1139	925
1139	842
1140	880
1140	863
1141	863
1142	812
1143	660
1144	540
1145	805
1145	620
1145	665
1146	620
1147	656
1147	643
1147	602
1148	850
1149	656
1150	509
1151	533
1153	910
1153	680
1155	872
1155	550
1155	784
80	784
80	783
131	998
131	620
131	781
131	784
387	832
389	525
389	999
390	640
390	784
390	801
390	667
646	782
762	782
717	782
795	832
1158	681
1158	998
1158	600
1158	645
1159	681
1161	677
1161	656
1161	880
1161	998
1161	677
1162	677
1162	656
24	801
24	525
24	867
1165	998
1165	677
1165	649
1168	649
1170	998
1171	998
1174	534
1174	645
2	784
5	640
7	550
38	998
1177	774
1178	600
1179	656
1179	850
1179	861
1179	998
1179	620
1179	612
1179	677
1179	501
1180	998
1180	522
1181	998
1181	612
1181	677
1181	782
1184	602
1185	693
2	801
2	502
5	696
6	600
6	500
7	580
11	545
11	867
12	608
12	781
12	644
14	782
14	802
20	774
20	763
21	663
22	514
22	781
22	620
23	620
24	832
24	543
24	512
24	509
24	503
25	731
26	866
27	612
27	677
28	693
29	640
29	646
32	801
32	802
32	514
34	612
34	772
34	640
35	999
36	999
38	600
38	783
38	693
40	805
41	867
41	543
41	920
41	502
41	503
41	505
41	506
41	512
42	780
42	525
42	784
44	733
50	802
50	656
50	645
50	783
51	509
51	782
51	783
53	805
55	525
55	867
55	509
55	503
58	600
58	580
58	801
58	780
59	514
