ID	Reporting restrictions
931	None mentioned
932	‘Embedded’ reporter
933	None mentioned
934	None mentioned
935	‘Embedded’ reporter
935	Location sensitive
937	None mentioned
938	None mentioned
939	None mentioned
941	None mentioned
942	None mentioned
943	None mentioned
944	None mentioned
945	None mentioned
946	None mentioned
947	None mentioned
948	None mentioned
949	None mentioned
950	None mentioned
951	None mentioned
952	None mentioned
953	None mentioned
954	None mentioned
955	None mentioned
956	None mentioned
957	None mentioned
958	None mentioned
959	None mentioned
960	None mentioned
961	None mentioned
962	‘Embedded’ reporter
962	Location sensitive
963	None mentioned
964	‘Embedded’ reporter
965	None mentioned
966	‘Embedded’ reporter
967	None mentioned
968	‘Embedded’ reporter
969	‘Embedded’ reporter
970	None mentioned
972	None mentioned
973	None mentioned
974	None mentioned
975	None mentioned
976	None mentioned
977	None mentioned
978	None mentioned
979	None mentioned
980	None mentioned
981	None mentioned
982	None mentioned
983	None mentioned
984	None mentioned
985	None mentioned
986	None mentioned
988	None mentioned
989	None mentioned
990	None mentioned
991	None mentioned
992	None mentioned
993	None mentioned
994	None mentioned
995	None mentioned
996	None mentioned
997	None mentioned
998	None mentioned
999	None mentioned
1000	None mentioned
1001	None mentioned
1002	None mentioned
1003	None mentioned
1004	None mentioned
1005	None mentioned
1006	None mentioned
1008	None mentioned
1009	None mentioned
1010	None mentioned
1011	None mentioned
1012	None mentioned
1013	None mentioned
1015	None mentioned
1016	None mentioned
1017	None mentioned
1018	None mentioned
1019	None mentioned
1020	None mentioned
1021	None mentioned
1022	‘Embedded’ reporter
1023	None mentioned
1024	‘Embedded’ reporter
1025	None mentioned
1026	None mentioned
1027	None mentioned
1028	None mentioned
1029	None mentioned
1030	None mentioned
1031	None mentioned
1033	None mentioned
1036	None mentioned
1037	None mentioned
1038	None mentioned
1039	None mentioned
1041	None mentioned
1042	None mentioned
1043	None mentioned
1044	None mentioned
1045	None mentioned
1046	None mentioned
1047	None mentioned
1048	None mentioned
1049	None mentioned
1050	None mentioned
1051	None mentioned
1052	None mentioned
1053	‘Embedded’ reporter
1054	None mentioned
1055	None mentioned
1056	None mentioned
1057	None mentioned
1058	None mentioned
1059	‘Embedded’ reporter
1060	None mentioned
1061	None mentioned
1063	‘Embedded’ reporter
1064	None mentioned
1065	None mentioned
1066	None mentioned
1067	None mentioned
1068	None mentioned
1069	None mentioned
1070	None mentioned
1071	None mentioned
1072	None mentioned
1073	None mentioned
1074	None mentioned
1075	None mentioned
1076	None mentioned
1077	None mentioned
1078	None mentioned
1079	None mentioned
1080	None mentioned
1081	None mentioned
1082	None mentioned
1083	None mentioned
1085	None mentioned
1086	None mentioned
1087	None mentioned
1088	None mentioned
1089	None mentioned
1090	None mentioned
1091	None mentioned
1092	None mentioned
1093	None mentioned
1094	None mentioned
1095	None mentioned
1096	None mentioned
1097	None mentioned
1098	None mentioned
1099	None mentioned
1100	None mentioned
1101	None mentioned
1102	None mentioned
1103	None mentioned
1104	None mentioned
1105	None mentioned
1106	None mentioned
1107	None mentioned
1108	None mentioned
1109	None mentioned
1110	None mentioned
1111	None mentioned
1112	None mentioned
1113	None mentioned
1114	None mentioned
1115	‘Embedded’ reporter
1116	None mentioned
1117	‘Embedded’ reporter
1117	Location sensitive
1118	None mentioned
1119	None mentioned
1120	‘Embedded’ reporter
1121	None mentioned
1122	None mentioned
1123	None mentioned
1124	‘Embedded’ reporter
1125	Other
1126	None mentioned
1127	None mentioned
1128	None mentioned
1129	None mentioned
1130	None mentioned
1132	None mentioned
1133	None mentioned
1134	None mentioned
1135	None mentioned
1136	None mentioned
1137	None mentioned
1138	None mentioned
1139	None mentioned
1140	None mentioned
1141	None mentioned
1142	None mentioned
1143	None mentioned
1144	None mentioned
1145	None mentioned
1146	None mentioned
1147	None mentioned
1148	None mentioned
1149	None mentioned
1150	None mentioned
1151	None mentioned
1152	None mentioned
1153	None mentioned
1154	None mentioned
1155	None mentioned
1156	None mentioned
435	None mentioned
80	None mentioned
81	None mentioned
131	None mentioned
190	None mentioned
210	None mentioned
215	None mentioned
240	None mentioned
241	None mentioned
313	None mentioned
315	None mentioned
346	None mentioned
387	None mentioned
389	None mentioned
390	None mentioned
646	None mentioned
717	None mentioned
753	None mentioned
762	None mentioned
795	None mentioned
1157	None mentioned
1158	None mentioned
1159	None mentioned
1160	None mentioned
1161	None mentioned
1162	None mentioned
1163	None mentioned
1165	None mentioned
1166	None mentioned
1167	None mentioned
1168	None mentioned
1169	None mentioned
1170	None mentioned
1171	None mentioned
1172	None mentioned
1173	None mentioned
1174	None mentioned
1175	None mentioned
1176	None mentioned
1177	None mentioned
1178	None mentioned
1179	None mentioned
1180	None mentioned
1181	None mentioned
1183	None mentioned
1184	None mentioned
1185	None mentioned
1187	None mentioned
1188	None mentioned
1189	None mentioned
1190	None mentioned
1192	None mentioned
1193	None mentioned
1194	None mentioned
1195	‘Embedded’ reporter
1196	None mentioned
1197	None mentioned
1198	None mentioned
1199	None mentioned
1200	None mentioned
1201	None mentioned
1202	None mentioned
1203	None mentioned
1204	None mentioned
1205	None mentioned
1206	None mentioned
1207	None mentioned
1208	‘Embedded’ reporter
1209	None mentioned
1210	None mentioned
1211	None mentioned
1212	None mentioned
1213	‘Embedded’ reporter
1214	None mentioned
1215	None mentioned
1217	None mentioned
1219	None mentioned
1220	None mentioned
1221	None mentioned
1222	None mentioned
1223	None mentioned
1224	None mentioned
1225	None mentioned
