ID	1 - Subject of photo	2 - Event Initiator	3 - Alternative source credited?	4 - Size of Photo
8	063	03	N/A no other source	M
8	038	03	N/A no other source	M
10	230	71	N/A no other source	L
12	230	71	Reuters	S
13	205	53	N/A no other source	XL
13	290	74	N/A no other source	S
14	062	01	Reuters	M
14	063	01	Reuters	M
14	063	01	Reuters	M
14	063	01	Reuters	M
14	063	01	Reuters	M
15	078	01	Reuters	M
15	076	01	N/A no other source	S
16	063	03	Getty Images	M
20	402	69	N/A no other source	M
20	402	69	N/A no other source	S
20	402	69	N/A no other source	S
20	402	69	N/A no other source	S
21	371	51	N/A no other source	XL
21	371	51	N/A no other source	M
21	371	51	N/A no other source	M
22	230	71	N/A no other source	L
22	350	74	N/A no other source	S
22	403	53	N/A no other source	S
24	281	11	N/A no other source	L
27	074	53	N/A no other source	XL
28	063	03	N/A no other source	L
30	142	05	N/A no other source	L
32	230	71	Reuters	L
33	049	03	N/A no other source	S
34	040	05	EPA	L
35	400	74	AP	S
36	232	17	AP	S
38	241	53	N/A no other source	S
38	038	03	N/A no other source	M
40	059	07	N/A no other source	S
40	241	53	N/A no other source	S
41	281	11	Reuters	M
44	200	37	PA	M
44	203	41	AP	S
44	203	41	Reuters	S
45	402	37	N/A no other source	S
47	230	71	Reuters	L
47	403	53	N/A no other source	S
49	038	03	N/A no other source	L
51	290	11	PA	L
53	202	41	N/A no other source	L
55	281	11	N/A no other source	S
57	350	13	AP	M
59	230	71	Reuters	L
59	403	53	N/A no other source	S
135	062	03	N/A no other source	S
633	049	03	N/A no other source	XL
633	049	03	N/A no other source	S
633	049	03	N/A no other source	S
633	049	71	N/A no other source	M
633	038	03	N/A no other source	M
634	300	09	N/A no other source	XL
634	350	74	N/A no other source	S
634	010	74	N/A no other source	S
634	063	01	N/A no other source	S
634	007	01	N/A no other source	S
634	053	01	N/A no other source	S
634	054	01	N/A no other source	S
635	351	13	N/A no other source	S
635	351	13	N/A no other source	S
635	352	13	N/A no other source	S
636	351	13	Other US media source	S
636	351	13	Other US media source	S
636	351	13	Other US media source	S
636	351	13	Other US media source	S
637	300	09	Other UK media source	S
637	300	09	Other UK media source	S
637	300	09	Other UK media source	S
637	300	09	Other UK media source	S
638	402	39	N/A no other source	S
638	402	39	N/A no other source	S
638	402	39	N/A no other source	S
638	999	75	N/A no other source	S
639	059	07	Getty Images	M
639	241	53	N/A no other source	S
640	059	01	N/A no other source	S
641	112	53	Other UK media source	S
642	007	01	N/A no other source	XL
643	403	53	N/A no other source	S
643	007	01	Reuters	L
643	007	01	Reuters	M
645	038	03	N/A no other source	L
645	053	03	N/A no other source	L
645	091	53	N/A no other source	M
647	300	09	N/A no other source	L
647	091	09	N/A no other source	S
648	241	53	N/A no other source	XL
650	401	53	N/A no other source	XL
651	007	01	Reuters	L
651	036	01	Reuters	M
651	040	23	AFP	M
651	145	01	AFP	M
655	356	53	N/A no other source	M
656	200	37	N/A no other source	S
656	200	37	N/A no other source	S
656	200	37	N/A no other source	S
656	200	37	N/A no other source	M
658	400	75	N/A no other source	M
659	352	53	N/A no other source	M
659	352	53	N/A no other source	M
