ID	1 - Subject of visual	2 - Event Initiator	3 - Alternative source credited?
129	007	71	Abu Dhabi
130	002	71	Abu Dhabi
130	007	71	Abu Dhabi
130	007	71	Al Jazeera
130	054	71	Abu Dhabi
131	002	71	N/A no other source
131	007	71	N/A no other source
131	054	74	N/A no other source
131	288	13	N/A no other source
131	144	13	N/A no other source
131	116	64	N/A no other source
131	371	52	N/A no other source
133	006	74	N/A no other source
133	002	71	Abu Dhabi
133	007	71	Abu Dhabi
134	241	53	N/A no other source
136	062	03	N/A no other source
136	038	03	N/A no other source
136	024	71	N/A no other source
136	053	03	N/A no other source
136	025	74	N/A no other source
136	135	24	N/A no other source
136	058	72	N/A no other source
136	026	03	N/A no other source
136	062	71	Abu Dhabi
136	051	02	N/A no other source
136	370	52	N/A no other source
136	354	13	N/A no other source
140	278	09	N/A no other source
141	279	09	N/A no other source
141	113	55	Other US media source
141	039	55	Other US media source
141	300	09	N/A no other source
141	285	09	N/A no other source
144	054	71	Abu Dhabi
145	241	53	N/A no other source
145	278	09	N/A no other source
145	053	71	N/A no other source
145	002	71	Abu Dhabi
145	007	71	Abu Dhabi
145	039	02	N/A no other source
147	202	41	N/A no other source
149	033	74	N/A no other source
151	002	71	Abu Dhabi
151	007	71	Abu Dhabi
151	002	71	Al Jazeera
151	007	71	Al Jazeera
151	053	71	N/A no other source
151	002	71	N/A no other source
151	007	71	N/A no other source
152	002	71	Al Jazeera
152	007	71	Al Jazeera
152	002	71	Abu Dhabi
152	007	71	Abu Dhabi
153	062	71	N/A no other source
153	241	53	N/A no other source
154	026	03	N/A no other source
154	053	03	N/A no other source
154	038	03	N/A no other source
154	254	03	N/A no other source
154	033	03	N/A no other source
155	038	03	N/A no other source
155	053	03	N/A no other source
155	059	05	N/A no other source
155	034	03	N/A no other source
158	062	01	US reporter from other media source
158	034	01	US reporter from other media source
158	113	55	US reporter from other media source
159	135	01	N/A no other source
160	032	01	N/A no other source
160	002	01	N/A no other source
160	053	01	N/A no other source
160	350	13	Iraqi State TV/ media
160	288	13	Iraqi State TV/ media
160	279	09	N/A no other source
160	007	01	N/A no other source
160	054	74	N/A no other source
160	300	09	N/A no other source
174	053	03	N/A no other source
175	278	09	N/A no other source
176	241	53	N/A no other source
176	241	75	Other named commercial satellite
176	002	71	Abu Dhabi
176	007	71	Abu Dhabi
176	279	09	N/A no other source
176	038	03	N/A no other source
178	300	09	N/A no other source
179	200	37	N/A no other source
179	251	37	N/A no other source
179	254	37	N/A no other source
180	241	53	N/A no other source
180	340	66	N/A no other source
180	999	53	N/A no other source
180	112	53	N/A no other source
181	002	71	Abu Dhabi
181	007	71	Abu Dhabi
181	288	13	Iraqi State TV/ media
181	254	03	N/A no other source
181	038	03	N/A no other source
181	025	74	N/A no other source
181	135	24	US Military/ Government
181	024	01	N/A no other source
182	241	53	N/A no other source
184	062	01	Videophone used
185	026	01	N/A no other source
185	062	01	N/A no other source
187	053	03	N/A no other source
188	202	41	N/A no other source
188	203	41	N/A no other source
189	200	37	N/A no other source
189	281	11	N/A no other source
190	200	37	N/A no other source
192	112	53	N/A no other source
193	010	53	Abu Dhabi
194	241	53	N/A no other source
194	062	71	N/A no other source
194	353	71	N/A no other source
194	370	52	N/A no other source
194	059	05	UK Military/ Government
194	039	01	N/A no other source
194	354	13	N/A no other source
194	038	03	N/A no other source
194	135	24	N/A no other source
194	135	24	UK Military/ Government
195	024	01	N/A no other source
195	062	01	N/A no other source
195	034	01	N/A no other source
195	002	01	N/A no other source
195	026	01	N/A no other source
187	036	03	N/A no other source
195	354	13	N/A no other source
197	010	13	N/A no other source
197	002	71	Abu Dhabi
197	007	71	Abu Dhabi
197	002	71	N/A no other source
197	007	71	N/A no other source
197	350	13	Iraqi State TV/ media
197	288	13	Iraqi State TV/ media
197	144	72	N/A no other source
197	145	72	N/A no other source
197	054	72	N/A no other source
198	006	53	N/A no other source
199	241	53	N/A no other source
199	167	02	Iraqi State TV/ media
199	130	02	Iraqi State TV/ media
199	062	01	N/A no other source
199	018	01	N/A no other source
199	144	72	Al Jazeera
199	371	52	Al Jazeera
199	054	71	N/A no other source
199	002	71	N/A no other source
199	032	03	N/A no other source
200	300	09	N/A no other source
201	053	71	N/A no other source
201	278	03	N/A no other source
201	062	01	N/A no other source
201	242	53	N/A no other source
201	091	53	N/A no other source
203	371	52	N/A no other source
203	010	05	N/A no other source
203	288	13	N/A no other source
203	054	72	N/A no other source
204	054	71	Al Jazeera
205	241	53	N/A no other source
205	034	71	N/A no other source
205	032	71	N/A no other source
205	039	01	N/A no other source
205	053	03	N/A no other source
205	059	05	N/A no other source
205	063	03	N/A no other source
205	033	74	N/A no other source
205	149	06	N/A no other source
205	152	06	N/A no other source
205	038	03	N/A no other source
207	242	53	N/A no other source
209	002	71	N/A no other source
209	032	71	N/A no other source
209	053	71	N/A no other source
209	054	71	N/A no other source
209	054	05	N/A no other source
209	167	02	N/A no other source
209	039	02	N/A no other source
209	026	71	N/A no other source
209	135	24	N/A no other source
209	038	03	N/A no other source
209	149	06	N/A no other source
209	002	71	US Military/ Government
209	054	72	News agency (AP, Reuters)
209	371	52	N/A no other source
209	145	72	N/A no other source
209	372	52	N/A no other source
210	241	53	N/A no other source
210	062	01	N/A no other source
210	039	01	N/A no other source
210	058	02	Iraqi State TV/ media
210	024	01	N/A no other source
211	280	11	N/A no other source
212	062	71	N/A no other source
212	241	53	N/A no other source
212	041	71	N/A no other source
212	054	72	N/A no other source
212	371	52	N/A no other source
213	061	01	US Military/ Government
213	076	01	N/A no other source
215	114	57	Iraqi State TV/ media
215	058	57	Iraqi State TV/ media
215	351	13	Iraqi State TV/ media
215	350	13	Iraqi State TV/ media
215	288	13	N/A no other source
215	130	57	Iraqi State TV/ media
215	135	53	N/A no other source
215	354	57	Iraqi State TV/ media
216	241	53	N/A no other source
216	372	52	N/A no other source
216	076	01	N/A no other source
216	363	52	N/A no other source
216	059	08	N/A no other source
216	002	01	N/A no other source
216	031	01	N/A no other source
217	240	53	Other UK media source
220	170	02	US reporter from other media source
220	039	02	N/A no other source
220	171	02	US reporter from other media source
220	113	55	Other US media source
220	130	55	Other US media source
220	130	59	Al Jazeera
220	341	55	Other US media source
220	071	01	N/A no other source
220	289	20	N/A no other source
220	076	01	N/A no other source
220	351	13	Iraqi State TV/ media
220	999	75	N/A no other source
221	113	55	Other US media source
221	115	59	Other Arab media (not specific reporter)
221	115	59	Abu Dhabi
221	130	05	Al Jazeera
221	288	13	N/A no other source
221	091	53	N/A no other source
221	280	11	N/A no other source
221	242	53	N/A no other source
221	135	01	N/A no other source
221	095	53	N/A no other source
223	402	75	N/A no other source
223	201	75	N/A no other source
224	140	02	N/A no other source
224	145	02	N/A no other source
225	203	41	N/A no other source
225	202	41	N/A no other source
226	113	55	Other US media source
226	115	59	Abu Dhabi
226	091	53	N/A no other source
226	372	52	N/A no other source
226	115	59	Other Arab media (not specific reporter)
226	053	55	Other US media source
226	202	41	N/A no other source
226	115	59	Al Jazeera
230	038	03	N/A no other source
230	241	53	N/A no other source
231	033	74	N/A no other source
231	062	01	N/A no other source
231	053	01	N/A no other source
231	110	23	N/A no other source
231	031	05	N/A no other source
231	170	02	N/A no other source
232	062	03	N/A no other source
232	018	03	N/A no other source
232	054	03	N/A no other source
232	046	04	N/A no other source
