ID	Date	Programme	Item number	Headline story?	First Head?	Length	Predominant format	Gender: anchor	Gender: anchor2	Gender: reporter1	Gender: reporter2	Reporter location	Embedded reporter used?	Story Type	Story setting/ occasion	Overall tone of story	Reporter Disdain?	Reporter Correction?	Prognosis1	Prognosis2	Prognosis3	Prognosis4	Prognosis5	Prognosis6	Prognosis7	Prognosis8	Prognosis9	Prognosis10	Prognosis11	Prognosis12	Prognosis13	Prognosis14	Prognosis15	Prognosis16
91	19/3/2003 00:00:00	BBC10	15	0	0	85	11	1	9	1	9	Kuwaiti desert	1	Straight: events over last 24 hours	Conflict zone: Report from battle/action	34	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
92	19/3/2003 00:00:00	BBC10	16	0	0	85	11	1	9	1	9	White House	9	Straight: events over last 24 hours	Political: Government	02	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
93	20/3/2003 00:00:00	Ch47	1	1	1	209	64	1	9	2	9	Baghdad	2	Straight: events over last 24 hours	Conflict zone: Report from battle/action	32	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
94	20/3/2003 00:00:00	Ch47	2	0	0	141	63	1	9	1	9	Kuwaiti desert	1	Straight: events over last 24 hours	Conflict zone: Report from battle/action	40	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
95	20/3/2003 00:00:00	Ch47	3	1	0	233	9	1	9	1	9	Kuwaiti desert	1	Straight: events over last 24 hours	Conflict zone: Report from battle/action	25	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
96	20/3/2003 00:00:00	Ch47	4	0	0	79	61	1	9	1	9	Kuwaiti desert	1	Straight: events over last 24 hours	Conflict zone: Report from battle/action	27	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
97	20/3/2003 00:00:00	Ch47	5	1	0	232	12	1	9	2	9	Baghdad	2	Straight: events over last 24 hours	Conflict zone: Mil briefing/ rpt. from Centcom	32	No/ N/A	No/ N/A	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
98	20/3/2003 00:00:00	Ch47	6	0	0	40	3	1	9	9	9	Analysis: not applicable	9	Analysis: info from different points in time	Media: Journalist rpt./ News analysis	27	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
99	20/3/2003 00:00:00	Ch47	7	0	0	210	45	1	9	9	9	No location: In studio	9	Feature: profile, interview	Media: interviews	40	No/ N/A	No/ N/A	5	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9
100	20/3/2003 00:00:00	Ch47	8	0	0	241	9	1	9	1	9	White House	9	Straight: events over last 24 hours	Political: Government	26	No/ N/A	No/ N/A	4	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
101	20/3/2003 00:00:00	Ch47	9	0	0	149	12	1	9	2	9	Parliament	9	Straight: events over last 24 hours	Political: Government	25	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
102	20/3/2003 00:00:00	Ch47	10	0	0	158	12	1	9	1	9	No location: In studio	9	Straight: events over last 24 hours	Conflict zone: Report from battle/action	32	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
103	20/3/2003 00:00:00	Ch47	11	0	0	101	11	1	9	2	9	UK 'street'	9	Straight: events over last 24 hours	Political: Interest Group/ Anti-war protest	29	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
104	20/3/2003 00:00:00	Ch47	12	0	0	41	3	1	9	9	9	No location: In studio	9	Straight: events over last 24 hours	Political: Interest Group/ Anti-war protest	29	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
105	20/3/2003 00:00:00	Ch47	13	0	0	42	3	1	9	9	9	No location: In studio	9	Straight: events over last 24 hours	Political: Legislative	33	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
106	20/3/2003 00:00:00	Ch47	14	1	0	191	3	1	9	9	9	No location: In studio	9	Straight: events over last 24 hours	Political: Interest Group/ Anti-war protest	24	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
107	20/3/2003 00:00:00	Ch47	15	0	0	12	1	1	9	9	9	No location: In studio	9	Straight: events over last 24 hours	Political: Government	07	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
108	20/3/2003 00:00:00	Ch47	19	1	0	179	12	1	9	1	9	Analysis: not applicable	9	Analysis: info from different points in time	Media: Journalist rpt./ News analysis	26	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
109	20/3/2003 00:00:00	Ch47	20	1	0	171	12	1	9	1	9	Other UK location	9	Feature: profile, interview	Media: Journalist rpt./ News analysis	17	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
110	20/3/2003 00:00:00	Ch47	21	0	0	163	61	1	9	1	9	Summit of International leaders	9	Straight: events over last 24 hours	Political: International Event/ Summit	25	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
111	20/3/2003 00:00:00	Ch47	22	0	0	53	11	1	9	2	9	Baghdad	2	Straight: events over last 24 hours	Conflict zone: Report from battle/action	40	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
