ID	Source
485	677
485	998
488	677
488	656
488	872
488	998
489	645
489	677
489	850
490	643
490	640
491	693
491	763
493	693
494	791
495	620
495	999
495	821
496	612
496	623
497	500
497	622
498	504
498	526
498	999
499	774
499	504
501	867
502	656
502	620
503	656
505	998
506	841
507	998
510	693
511	998
512	677
512	656
513	681
514	677
514	612
515	677
515	656
516	640
520	503
520	526
522	681
522	645
522	862
523	681
523	850
523	697
523	677
523	998
524	681
525	656
525	677
525	663
526	681
526	774
526	677
527	645
528	645
528	862
529	681
529	763
529	641
530	693
530	693
532	645
532	501
533	608
534	600
534	620
535	861
535	522
538	681
538	906
538	998
538	862
539	656
540	677
543	693
546	832
548	998
548	642
548	623
548	620
549	620
550	880
551	998
552	656
553	677
554	612
554	998
558	801
559	697
560	522
560	764
560	765
562	674
562	602
562	601
562	500
563	681
563	677
563	998
564	681
565	697
565	697
565	500
566	901
566	850
566	620
566	640
567	643
569	677
570	862
570	643
570	681
573	619
574	901
574	643
575	901
576	643
576	901
583	620
583	850
584	645
584	640
584	677
585	643
586	681
588	500
588	693
592	620
594	677
594	656
595	677
595	681
595	643
598	677
600	693
602	843
602	620
603	998
603	681
603	693
603	697
604	681
604	677
604	645
605	640
605	998
605	656
605	677
607	677
608	656
611	780
611	526
611	612
611	605
613	850
614	693
614	850
617	681
617	764
617	649
618	645
619	832
620	677
620	656
621	850
621	850
621	681
622	681
622	998
623	677
623	873
623	681
624	693
624	697
624	850
625	693
626	681
628	526
628	500
629	500
629	620
629	600
630	677
631	677
631	850
632	677
632	681
633	670
634	693
635	998
636	509
637	764
638	764
638	998
639	601
639	780
639	998
641	677
641	696
641	998
641	681
642	651
643	902
644	693
644	697
647	801
647	591
648	620
649	677
653	677
653	774
654	677
654	910
655	998
655	774
657	850
660	998
660	656
661	681
662	850
662	697
663	693
665	600
666	620
666	534
667	677
667	656
668	677
672	850
673	998
673	850
676	608
676	631
677	765
678	656
679	602
679	693
679	623
679	534
679	774
680	602
680	640
681	905
684	850
687	862
688	608
690	500
691	693
693	998
694	850
696	608
697	608
697	677
700	656
701	998
701	764
701	999
701	677
702	902
702	903
703	783
703	817
704	832
705	649
710	832
710	500
711	850
712	600
712	500
713	620
716	998
717	764
719	612
719	783
721	608
721	600
723	998
723	780
724	677
725	764
726	850
726	850
727	514
727	850
727	681
729	670
734	764
735	850
735	765
735	677
736	693
736	850
737	910
739	503
739	602
739	764
739	681
740	620
741	803
744	681
744	662
745	681
745	850
746	681
746	850
747	783
748	783
751	612
751	620
752	681
752	850
752	677
753	681
754	998
756	731
756	533
757	677
757	998
758	681
759	782
760	652
763	533
763	731
763	730
763	803
763	802
763	801
764	697
764	850
766	905
766	681
766	665
769	792
770	600
770	602
770	907
771	601
772	854
772	765
773	841
775	850
777	677
778	677
778	649
779	620
779	590
781	620
781	500
782	850
782	998
782	681
783	850
783	765
783	850
785	522
785	697
785	500
787	652
787	850
788	850
789	677
789	850
791	850
793	522
794	531
794	620
796	832
796	868
797	652
798	690
798	612
799	611
799	998
801	850
802	765
804	620
805	522
805	500
806	774
807	620
807	660
807	850
808	800
808	620
809	681
809	850
810	681
881	681
812	620
812	602
814	500
814	802
815	620
815	801
815	802
817	854
817	850
819	677
819	850
819	765
819	660
821	774
821	620
824	501
826	998
827	850
828	620
828	999
828	812
829	998
830	765
832	850
832	850
832	681
832	850
832	620
832	850
832	681
833	681
834	850
837	526
839	812
839	677
839	608
839	612
841	850
841	850
842	681
843	850
844	854
845	608
846	998
846	503
847	903
847	681
847	850
848	850
851	903
852	783
852	600
853	850
853	850
854	765
855	664
858	850
858	681
859	904
859	656
859	623
859	905
860	681
861	904
861	850
862	619
862	620
863	816
864	500
864	868
864	833
865	850
866	850
866	600
867	681
868	850
868	640
868	998
869	850
869	850
869	663
871	697
873	901
874	697
876	697
878	697
878	693
879	645
879	697
881	645
881	681
881	998
884	697
884	645
888	693
888	620
893	998
895	612
895	645
896	850
901	850
901	681
901	620
904	850
906	600
906	998
909	998
909	677
909	696
909	697
911	600
911	623
912	693
913	645
914	645
917	500
917	801
919	500
920	645
920	607
921	681
921	645
921	640
922	677
922	518
923	801
923	509
924	540
924	500
926	802
928	522
928	612
929	681
930	677
930	522
934	696
934	998
936	803
938	998
938	677
938	612
938	901
938	645
940	998
940	677
941	801
941	781
941	526
941	998
942	649
942	677
942	612
942	873
943	504
944	905
944	998
945	645
945	612
946	677
947	670
947	764
947	850
947	693
947	998
949	620
949	604
950	998
952	850
955	697
956	526
956	620
956	888
957	818
959	998
959	693
959	865
961	998
963	601
966	697
966	693
967	850
968	901
968	693
968	656
969	607
969	612
969	772
969	780
969	833
969	888
969	842
969	526
969	604
969	612
970	903
970	522
971	998
971	783
973	887
975	694
976	907
976	697
978	500
978	645
981	620
981	674
981	602
981	645
983	645
983	526
983	600
984	998
986	907
986	677
986	643
986	764
988	907
988	764
988	612
989	612
991	903
993	675
995	612
995	998
995	681
997	693
997	850
999	677
999	620
999	675
1000	677
1001	645
1003	891
1003	681
1005	643
1006	602
1006	889
1007	643
1010	998
1011	500
1011	503
1013	697
1014	677
1016	643
1016	761
1017	774
1017	645
1021	612
1022	901
1023	677
1025	850
1025	697
1026	681
1027	645
1027	850
1027	998
1028	600
1029	681
1029	645
1030	640
1030	645
1031	612
1031	677
1032	884
1032	612
1033	696
1034	850
1034	850
1035	643
1036	602
1036	608
1037	998
1038	998
1039	677
1039	903
1039	681
1040	643
1040	907
1040	677
1044	903
1045	850
1046	998
1046	681
1046	907
1046	681
1047	765
1048	672
1048	602
1048	774
1048	690
1048	677
1049	693
1049	863
1049	501
1049	850
1050	850
1052	998
1052	500
1052	600
1052	832
1052	804
1053	693
1053	850
1056	998
1056	681
1060	623
1061	677
1061	664
1061	801
1062	612
1064	697
1065	602
1068	693
1068	677
1068	656
1068	674
1068	602
1068	612
1068	607
1068	697
1069	850
1071	681
1073	665
1073	681
1074	664
1074	998
1075	677
1075	850
1076	998
1078	681
1079	612
1079	998
1079	888
1079	780
1079	607
1082	998
1082	665
1084	600
1085	889
1085	602
1088	998
1090	677
1090	681
1091	620
1091	604
1091	612
1091	608
1091	661
1092	620
1093	677
1094	681
1095	832
1097	765
1097	998
1100	500
1101	697
1101	850
1101	998
1102	850
1104	831
1106	765
1111	850
1111	620
1112	905
1112	998
1113	500
1113	868
1115	850
1116	904
1116	620
1116	643
1117	868
1118	832
1118	600
1118	730
1118	583
1119	612
1120	656
1120	640
1124	543
1125	543
1125	500
1126	692
1126	620
1127	887
1127	901
1127	656
1128	998
1134	677
1135	620
1135	612
1135	608
1136	602
1137	612
1138	692
1140	774
1141	832
1142	832
1143	731
1143	527
1144	998
1145	532
1145	998
1147	850
1148	783
1149	692
1150	832
1151	782
1152	555
1153	998
1153	677
1153	681
1155	861
1158	998
1159	901
1160	600
1161	656
1161	763
1163	533
1163	731
1163	500
1163	733
1163	730
1167	901
1168	998
1168	620
1170	832
1172	656
1172	998
1172	850
1172	677
1176	526
1177	677
1177	998
1178	681
1184	697
1185	677
1185	656
1186	677
1186	774
1186	677
1187	656
1187	656
1188	514
1188	500
