Story ID	Ranking	Subject (Whom)	Tone
69	P	681	Straight
69	P	670	Straight
69	P	649	Straight
69	P	645	Straight
69	P	640	Straight
70	M	730	Straight
70	P	533	Straight
70	P	526	Straight
71	M	730	Straight
1276	S	612	Straight
1276	S	862	Straight
71	M	503	Straight
71	S	731	Straight
72	M	517	Straight
72	S	821	Straight
72	P	834	Straight
73	P	526	Straight
73	S	999	Straight
74	S	543	Straight
74	M	500	Straight
74	P	503	Straight
74	M	801	Straight
74	P	514	Straight
74	P	600	Straight
74	P	640	Straight
75	S	607	Straight
75	P	600	Straight
75	P	500	Straight
75	S	681	Straight
75	S	856	Straight
75	P	677	Straight
75	S	783	Straight
75	P	526	Straight
75	M	620	Straight
75	S	775	Straight
76	M	783	Straight
76	M	620	Straight
76	P	764	Straight
76	P	800	Straight
76	P	804	Straight
76	P	850	Straight
76	P	500	Straight
76	S	526	Straight
76	P	999	Straight
76	P	697	Straight
76	P	681	Straight
77	M	649	Mixed
77	S	773	Straight
77	P	640	Straight
77	P	681	Straight
77	P	697	Straight
77	P	677	Straight
77	P	696	Straight
78	M	641	Straight
78	P	518	Straight
78	P	640	Straight
78	P	901	Straight
79	M	643	Straight
79	M	901	Straight
79	M	903	Straight
79	P	620	Straight
79	S	600	Straight
79	P	681	Straight
79	S	792	Straight
79	S	812	Straight
79	P	659	Straight
79	S	640	Straight
80	M	697	Straight
80	S	681	Straight
80	P	640	Straight
80	S	703	Straight
80	S	676	Straight
80	P	600	Straight
80	P	693	Straight
80	P	850	Straight
80	S	645	Straight
80	P	841	Straight
81	S	612	Straight
81	S	522	Straight
81	S	649	Straight
81	P	693	Straight
81	P	677	Straight
81	P	681	Straight
81	P	697	Straight
82	M	681	Straight
82	P	649	Straight
83	M	850	Straight
83	S	640	Straight
83	P	649	Straight
83	M	645	Straight
83	P	620	Straight
83	P	600	Straight
83	P	665	Straight
85	S	693	Straight
85	S	697	Straight
85	S	805	Straight
85	S	681	Straight
85	S	649	Mixed
85	S	773	Straight
85	P	677	Straight
85	P	696	Straight
85	P	640	Straight
85	P	999	Straight
86	M	500	Straight
86	S	730	Straight
86	S	550	Straight
86	P	801	Straight
86	S	543	Straight
86	P	697	Straight
86	P	640	Straight
86	P	850	Straight
86	P	526	Straight
86	P	514	Straight
87	M	500	Straight
87	M	801	Straight
87	P	620	Straight
87	S	526	Straight
87	S	800	Straight
87	P	783	Straight
87	S	518	Straight
87	S	849	Straight
88	M	849	Straight
88	S	817	Straight
88	S	711	Straight
88	P	600	Straight
88	P	500	Straight
88	P	850	Straight
88	P	820	Straight
88	P	810	Straight
89	M	830	Straight
89	S	863	Straight
89	P	730	Straight
89	P	543	Straight
89	P	527	Straight
89	S	697	Straight
89	P	500	Straight
89	P	640	Straight
90	S	672	Straight
90	M	908	Straight
90	S	677	Straight
90	S	693	Straight
90	P	999	Straight
90	P	600	Straight
90	P	640	Straight
90	P	929	Straight
91	M	681	Straight
91	P	998	Straight
92	S	601	Straight
92	S	602	Straight
92	S	603	Straight
92	S	605	Straight
92	M	600	Straight
92	P	677	Straight
92	P	850	Straight
92	S	674	Straight
92	P	640	Straight
92	P	608	Straight
93	P	901	Straight
93	S	850	Straight
93	P	645	Straight
94	M	681	Straight
94	S	649	Straight
95	S	693	Straight
95	S	649	Straight
95	P	681	Straight
95	M	697	Straight
95	S	640	Straight
95	P	849	Straight
95	P	692	Straight
95	P	873	Straight
96	P	645	Straight
96	M	681	Straight
96	S	640	Straight
96	S	697	Straight
97	S	600	Straight
97	M	640	Straight
97	P	656	Straight
97	S	643	Straight
97	P	738	Straight
97	S	645	Straight
