ID	Coding frame used	Tone
626	Justification: WMDs	32
627	Not applicable	
628	Not applicable	
629	Not applicable	
630	Battle	34
631	Battle	34
632	Battle	34
633	Battle	40
633	Justification: WMDs	32
634	Battle	33
635	Not applicable	
636	Not applicable	
637	Humanitarian issues (aid delivery)	32
638	Battle	34
638	Humanitarian issues (aid delivery)	24
639	Battle	40
640	Battle	19
641	Battle	34
641	Civilian casualties	18
642	Battle	19
643	Not applicable	
644	Battle	33
645	Restoration of law and order (post-conflict)	33
646	Coalition military casualties	25
647	Not applicable	
648	Not applicable	
649	Battle	34
650	Justification: Humanitarian (Blairite)	11
651	Battle	34
652	Not applicable	
653	Not applicable	
654	Not applicable	
655	Not applicable	
656	Civilian casualties	32
657	Restoration of law and order (post-conflict)	33
657	Humanitarian issues (aid delivery)	33
658	Not applicable	
659	Coalition military casualties	25
660	Battle	34
660	Civilian casualties	24
661	Battle	34
662	Restoration of law and order (post-conflict)	25
662	Justification: Humanitarian (Blairite)	19
663	Restoration of law and order (post-conflict)	25
664	Not applicable	
665	Not applicable	
666	Not applicable	
667	Coalition military casualties	08
667	Civilian casualties	32
668	Not applicable	
669	Coalition military casualties	25
670	Not applicable	
671	Not applicable	
672	Battle	34
673	Battle	32
673	Justification: Humanitarian (Blairite)	40
674	Battle	19
675	Justification: Humanitarian (Blairite)	19
675	Battle	40
676	Battle	34
677	Civilian casualties	24
677	Humanitarian issues (aid delivery)	24
678	Coalition military casualties	32
678	Civilian casualties	07
679	Not applicable	
680	Not applicable	
681	Justification: Humanitarian (Blairite)	19
682	Not applicable	
683	Battle	34
684	Battle	19
685	Battle	26
686	Battle	40
687	Battle	19
688	Battle	19
688	Justification: Humanitarian (Blairite)	19
689	Not applicable	
690	Not applicable	
691	Restoration of law and order (post-conflict)	25
692	Strategy	40
692	Battle	40
693	Civilian casualties	10
694	Civilian casualties	18
694	Restoration of law and order (post-conflict)	18
695	Restoration of law and order (post-conflict)	31
696	Battle	40
696	Restoration of law and order (post-conflict)	31
697	Not applicable	
698	Not applicable	
699	Restoration of law and order (post-conflict)	32
700	Civilian casualties	32
700	Coalition military casualties	32
701	Humanitarian issues (aid delivery)	24
701	Restoration of law and order (post-conflict)	24
702	Justification: Humanitarian (Blairite)	32
703	Not applicable	
704	Not applicable	
705	Battle	40
705	Restoration of law and order (post-conflict)	31
706	Restoration of law and order (post-conflict)	32
707	Restoration of law and order (post-conflict)	26
708	Restoration of law and order (post-conflict)	32
709	Restoration of law and order (post-conflict)	32
710	Not applicable	
711	Restoration of law and order (post-conflict)	25
712	Not applicable	
713	Battle	40
713	Restoration of law and order (post-conflict)	32
713	Justification: Humanitarian (Blairite)	19
714	Restoration of law and order (post-conflict)	26
715	Restoration of law and order (post-conflict)	26
716	Battle	26
717	Humanitarian issues (aid delivery)	24
718	Not applicable	
719	Not applicable	
