Story ID	Ranking	Subject (What)	Event Initiator	Tone
293	S	081	53	27
293	S	384	53	19
293	S	001	53	32
294	1	163	11	33
294	M	001	11	40
295	S	467	11	25
295	M	270	71	32
295	M	277	11	32
295	S	325	74	32
296	1	370	53	26
296	S	354	09	34
296	S	407	53	26
297	1	205	04	25
297	M	201	04	25
297	S	203	04	25
298	1	300	53	25
298	S	356	53	33
298	S	420	53	33
299	M	467	53	32
299	1	122	53	32
300	1	002	72	24
300	1	226	72	24
300	M	075	71	32
300	S	232	72	24
300	M	461	52	24
301	1	231	01	26
301	M	002	01	26
302	1	226	53	26
302	S	452	53	26
302	M	080	53	19
302	M	232	53	18
303	1	001	74	32
303	M	044	05	19
303	S	015	05	35
304	1	013	02	18
304	M	014	05	27
304	S	451	52	32
304	S	191	24	19
305	1	001	74	25
305	S	011	03	33
305	S	043	03	25
305	S	462	52	35
305	S	468	52	33
305	S	467	74	25
306	1	011	01	34
306	S	081	05	19
306	S	027	01	34
306	S	218	06	19
307	1	442	03	25
307	M	469	03	25
307	S	165	03	25
308	1	442	53	33
308	M	039	53	19
308	S	443	53	31
309	1	081	53	19
309	M	400	53	19
309	S	467	53	19
310	M	231	01	34
310	1	225	74	26
310	S	171	01	34
311	1	276	11	32
311	M	325	11	32
312	M	276	72	24
312	1	370	53	18
312	M	164	09	18
312	S	325	11	18
312	S	285	11	18
313	M	324	53	26
313	M	325	53	28
313	M	285	53	26
313	1	276	53	26
314	1	200	74	01
315	M	202	04	25
315	1	420	66	25
315	S	350	11	25
316	1	182	74	07
317	1	174	75	99
318	1	300	53	33
318	S	285	53	25
318	M	163	53	25
318	S	442	53	33
318	S	200	53	25
318	1	360	53	33
319	1	044	05	19
319	1	002	03	33
319	M	011	03	33
320	1	002	72	24
320	M	226	72	24
320	M	166	13	27
320	S	075	01	26
321	1	231	11	25
321	M	002	72	25
322	1	013	02	18
322	M	014	05	27
322	S	451	52	32
322	S	191	24	19
323	1	001	74	25
323	M	467	74	25
323	S	026	03	33
323	S	082	03	19
324	1	044	05	19
324	S	002	01	40
324	S	011	01	40
325	1	183	02	26
326	1	442	03	33
326	S	347	52	31
327	1	082	05	19
327	1	400	53	11
327	S	043	03	33
327	M	064	06	19
328	1	001	74	32
328	M	002	01	34
328	S	051	74	98
329	1	201	04	25
329	1	202	04	25
329	M	205	04	25
329	S	174	59	07
330	1	467	11	19
330	S	400	11	19
331	1	164	09	34
331	S	048	09	34
331	S	124	01	34
332	M	325	11	32
332	1	324	09	34
333	1	231	01	02
333	S	225	02	02
334	1	026	22	33
335	S	407	53	32
335	1	165	71	32
335	M	050	71	32
335	1	270	71	32
335	S	131	71	40
336	1	165	53	32
336	1	270	53	32
336	M	276	53	32
336	M	321	53	32
336	S	325	53	32
337	1	203	04	25
337	S	205	53	25
338	1	001	74	25
338	S	225	74	25
338	M	010	03	25
338	S	043	03	25
339	M	124	01	34
339	S	002	01	34
339	M	051	07	40
339	S	467	19	26
339	S	011	01	34
339	S	120	19	18
340	S	014	05	27
340	1	001	74	26
340	S	233	02	18
340	S	012	02	18
341	1	212	02	18
341	M	015	05	35
342	1	001	74	26
342	S	047	74	98
342	S	010	02	26
342	S	043	02	26
343	M	002	71	32
343	S	231	13	27
343	S	232	71	32
343	S	081	13	35
343	M	166	13	27
343	M	225	74	98
344	1	120	53	18
344	S	001	53	32
344	S	050	53	32
344	S	124	53	18
345	S	243	37	29
345	S	254	39	29
345	S	262	41	29
345	1	265	41	29
346	1	484	75	24
346	M	304	75	24
346	M	284	17	24
346	S	262	41	24
346	S	325	17	36
347	1	354	53	25
347	S	064	53	25
347	S	351	53	25
348	M	270	53	32
348	M	165	53	32
348	M	124	53	18
348	M	050	53	32
349	1	464	52	17
349	1	001	74	25
349	1	453	74	25
349	S	226	04	17
349	S	442	03	25
349	S	064	06	33
349	S	043	03	17
349	S	444	74	24
349	S	446	74	25
350	1	210	02	18
350	S	451	52	18
350	S	017	22	18
351	1	124	01	34
351	S	046	01	26
351	S	051	07	26
352	M	407	22	17
352	1	017	22	17
353	1	186	53	25
353	M	231	53	25
353	M	174	53	31
353	M	181	53	25
353	S	171	53	31
353	S	193	53	19
353	S	400	53	19
353	S	160	53	25
354	1	193	53	25
354	1	231	53	25
354	1	380	53	25
354	S	029	53	27
354	M	131	11	19
354	S	420	11	25
355	1	270	71	32
355	1	165	71	32
355	M	131	71	19
355	S	050	71	32
355	S	276	72	24
355	M	321	71	32
355	S	325	71	32
356	1	291	74	24
356	M	325	17	18
356	M	284	17	24
357	1	001	01	26
357	M	012	02	18
357	S	005	01	34
357	S	384	01	26
358	M	466	52	32
358	M	002	71	26
358	S	462	52	35
358	S	075	71	32
358	S	166	13	27
359	1	120	53	32
359	M	001	53	32
359	S	124	53	26
360	1	354	11	25
361	1	200	74	32
362	S	264	41	29
362	1	265	41	29
362	S	262	41	29
362	S	254	39	29
363	S	407	53	32
363	1	464	53	24
363	S	131	53	40
363	S	462	53	35
364	M	130	53	32
364	M	139	53	32
364	M	464	53	32
364	M	465	53	32
364	M	400	53	19
364	S	402	53	24
365	1	001	74	32
366	1	270	71	40
366	M	050	71	40
366	M	131	71	40
366	S	193	11	19
367	1	165	53	32
367	M	050	53	32
368	1	011	03	33
368	S	064	53	33
368	S	043	03	33
369	1	124	01	34
369	S	051	07	34
370	1	063	02	18
371	1	233	02	18
371	S	017	02	18
371	S	451	52	18
372	M	225	74	32
372	S	031	72	24
372	S	231	01	26
372	M	469	52	31
373	1	381	11	33
373	M	030	11	19
374	1	442	03	25
374	S	461	52	24
374	M	347	52	31
374	S	082	74	19
375	1	440	03	33
375	S	039	03	33
375	S	082	05	19
376	1	182	54	31
377	1	420	66	25
377	M	205	66	25
377	S	202	66	25
378	1	225	74	24
378	S	304	74	24
378	M	469	52	31
379	1	001	74	25
379	M	082	03	19
379	S	043	03	25
379	S	014	05	27
380	1	098	53	25
380	S	463	03	25
381	S	075	71	08
381	M	232	13	24
381	S	304	74	24
381	1	225	74	24
382	1	001	74	26
382	S	010	01	02
382	S	051	07	34
382	S	014	05	27
383	1	120	53	26
383	M	124	53	26
384	1	164	09	26
384	M	292	09	26
384	S	181	09	26
384	S	356	09	34
384	S	064	09	34
385	M	292	09	26
385	M	353	10	26
385	S	181	09	26
386	1	304	75	24
386	M	264	41	24
386	S	148	41	24
386	S	393	19	24
387	1	440	03	33
388	M	231	11	25
388	1	420	66	17
389	1	205	03	25
389	S	201	04	17
391	M	047	72	24
391	1	226	72	24
391	M	461	52	24
391	M	002	72	24
391	S	031	72	24
392	1	231	71	32
392	M	080	71	19
392	S	226	72	24
